iter	Passed	Remaining
0	177	177576
1	201	100325
2	221	73549
3	245	61007
4	280	55806
5	309	51342
6	334	47445
7	363	45096
8	387	42668
9	411	40748
10	433	38943
11	516	42499
12	535	40618
13	561	39538
14	584	38370
15	609	37484
16	649	37543
17	672	36665
18	696	35985
19	719	35259
20	741	34580
21	774	34429
22	797	33878
23	829	33730
24	864	33706
25	889	33322
26	918	33115
27	945	32807
28	1029	34475
29	1049	33921
30	1076	33643
31	1104	33416
32	1133	33206
33	1157	32896
34	1181	32562
35	1205	32277
36	1229	32000
37	1251	31683
38	1284	31645
39	1307	31383
40	1337	31292
41	1374	31361
42	1401	31200
43	1436	31209
44	1466	31130
45	1502	31157
46	1530	31041
47	1553	30804
48	1575	30582
49	1599	30387
50	1619	30132
51	1659	30244
52	1681	30046
53	1705	29882
54	1732	29761
55	1758	29634
56	1782	29491
57	1806	29347
58	1830	29189
59	1850	28996
60	1872	28826
61	1897	28702
62	1922	28587
63	1951	28540
64	1972	28378
65	1998	28281
66	2026	28222
67	2052	28134
68	2081	28078
69	2102	27936
70	2124	27794
71	2159	27831
72	2183	27732
73	2205	27593
74	2225	27444
75	2245	27305
76	2267	27183
77	2291	27089
78	2314	26983
79	2337	26875
80	2368	26869
81	2402	26894
82	2431	26863
83	2459	26818
84	2486	26769
85	2515	26734
86	2536	26622
87	2570	26635
88	2611	26731
89	2639	26690
90	2672	26696
91	2692	26577
92	2712	26457
93	2734	26360
94	2758	26280
95	2781	26194
96	2804	26105
97	2825	26007
98	2846	25901
99	2867	25803
100	2893	25751
101	2916	25678
102	2942	25626
103	2965	25544
104	2995	25535
105	3034	25593
106	3055	25497
107	3079	25432
108	3107	25404
109	3130	25331
110	3154	25266
111	3177	25192
112	3201	25128
113	3225	25065
114	3252	25031
115	3278	24981
116	3299	24904
117	3320	24822
118	3343	24754
119	3365	24679
120	3393	24650
121	3421	24625
122	3445	24564
123	3468	24506
124	3489	24426
125	3509	24346
126	3535	24301
127	3567	24300
128	3592	24254
129	3626	24268
130	3671	24354
131	3692	24283
132	3713	24210
133	3742	24185
134	3766	24136
135	3791	24085
136	3815	24034
137	3845	24020
138	3867	23958
139	3895	23930
140	3919	23881
141	3949	23863
142	3981	23861
143	4004	23806
144	4027	23749
145	4048	23680
146	4069	23616
147	4099	23600
148	4129	23584
149	4160	23573
150	4181	23511
151	4217	23529
152	4239	23470
153	4277	23498
154	4303	23460
155	4334	23450
156	4366	23447
157	4389	23392
158	4412	23341
159	4441	23318
160	4469	23291
161	4496	23258
162	4520	23210
163	4541	23151
164	4563	23092
165	4586	23043
166	4614	23017
167	4639	22975
168	4662	22927
169	4688	22889
170	4708	22828
171	4730	22774
172	4753	22725
173	4775	22670
174	4801	22633
175	4825	22593
176	4850	22552
177	4872	22503
178	4900	22478
179	4923	22427
180	4948	22390
181	4976	22367
182	5004	22341
183	5035	22329
184	5057	22279
185	5081	22236
186	5104	22190
187	5125	22135
188	5145	22078
189	5169	22040
190	5197	22016
191	5224	21987
192	5249	21951
193	5272	21906
194	5296	21866
